Titulares,P,CA,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PA,P%,Eventos,partido,equipo,localizacion
Jorge Pulido,-,-,1,1,0,0,0,1,3,3,3,0,0,69,,211,huesca,local
Pablo Ínsua,-,-,0,0,0,0,0,1,2,3,1,0,0,78.6,,211,huesca,local
Jorge Miramón,-,-,0,0,4,2,0,0,0,0,1,1,1,73.7,,211,huesca,local
Javi Galán,-,-,0,0,3,0,0,1,1,0,2,1,1,72.2,,211,huesca,local
Moi Gómez,-,-,1,1,7,1,1,0,2,3,1,0,1,75,,211,huesca,local
Christian Rivera,-,-,0,0,0,0,0,1,2,0,1,1,0,75,,211,huesca,local
Yangel Herrera  71',-,-,2,1,0,0,3,2,0,1,0,1,0,83.3,,211,huesca,local
Cucho Hernández  76',-,-,1,1,1,1,0,0,1,0,0,1,4,66.7,,211,huesca,local
Enric Gallego  88',-,-,4,2,1,0,2,2,2,1,1,2,0,64.7,,211,huesca,local
Jordi Masip,3,0,0,0,0,0,0,0,0,0,0,0,0,75,,211,valladolid,visitante
Kiko Olivas  81',-,-,0,0,0,0,0,3,0,2,0,0,0,88.6,,211,valladolid,visitante
Fernando Calero,-,-,0,0,0,0,0,0,1,2,0,0,0,83,,211,valladolid,visitante
Antoñito Regal,-,-,0,0,6,3,0,0,1,1,1,0,4,70.6,,211,valladolid,visitante
Nacho Martínez,-,-,1,1,2,0,0,0,0,0,2,0,1,71.4,,211,valladolid,visitante
Borja Fernández,-,-,1,1,0,0,0,0,2,2,3,0,0,79.1,,211,valladolid,visitante
Rubén Alcaraz,-,-,4,1,3,0,1,0,3,0,2,1,0,92.5,,211,valladolid,visitante
Toni Villa  53',-,-,0,0,1,0,1,1,0,0,2,1,0,84.6,,211,valladolid,visitante
Keko Gontán  63',-,-,0,0,8,2,4,0,1,0,0,2,0,57.1,,211,valladolid,visitante
Óscar Plano,-,-,2,1,5,0,0,3,1,0,0,0,0,66.7,,211,valladolid,visitante
Sergi Guardiola,-,-,1,0,0,0,1,5,2,0,1,1,0,86.7,,211,valladolid,visitante
Aitor Fernández,2,1,0,0,0,0,0,0,0,0,0,0,0,73.1,,212,levante,local
Toño García,-,-,0,0,3,2,0,1,1,1,1,2,0,63.4,,212,levante,local
Coke Andújar,-,-,0,0,1,0,2,1,1,1,1,1,0,68.5,,212,levante,local
Erick Cabaco,-,-,0,0,0,0,0,0,0,1,0,0,0,61.5,,212,levante,local
Rúben Vezo,-,-,1,0,1,0,1,0,0,2,2,0,0,73.3,,212,levante,local
Enis Bardhi  70',-,-,1,0,1,0,0,3,0,1,2,1,0,63.2,,212,levante,local
Rubén Rochina  79',-,-,0,0,3,1,0,2,1,1,0,4,3,82.2,,212,levante,local
Jason,-,-,2,1,3,0,0,2,0,3,1,2,0,59.5,,212,levante,local
José Campaña,-,-,0,0,3,0,1,1,3,0,4,1,1,82.8,,212,levante,local
Roger Martí  77',-,-,3,2,2,1,1,3,0,0,0,0,2,83.3,,212,levante,local
José Luis Morales,-,-,1,1,2,0,1,0,1,0,1,1,1,50,,212,levante,local
David Soria,4,0,0,0,0,0,0,0,0,0,0,0,0,21.4,,212,getafe,visitante
Ignasi Miquel,-,-,0,0,0,0,0,0,2,3,0,1,0,66.7,,212,getafe,visitante
Damián Suárez,-,-,1,0,6,2,2,1,3,0,3,1,2,56.3,,212,getafe,visitante
Mathias Olivera,-,-,0,0,1,0,1,0,1,3,0,1,1,58.6,,212,getafe,visitante
Samuel Sáiz  84',-,-,1,0,1,0,0,2,0,0,1,6,2,72.2,,212,getafe,visitante
Mathieu Flamini,-,-,0,0,0,0,0,1,4,2,1,0,0,84,,212,getafe,visitante
Mauro Arambarri,-,-,0,0,1,0,1,0,1,1,1,1,2,50,,212,getafe,visitante
Nemanja Maksimovic,-,-,3,0,0,0,0,0,0,2,3,2,0,69.4,,212,getafe,visitante
Dimitri Foulquier,-,-,0,0,0,0,0,0,1,0,0,0,0,57.9,,212,getafe,visitante
Jaime Mata  61',-,-,0,0,1,0,0,0,1,0,0,0,1,75,,212,getafe,visitante
Ángel Rodríguez  69',-,-,1,1,2,0,1,2,1,0,0,0,1,40,,212,getafe,visitante
Gerónimo Rulli,4,0,0,0,0,0,0,0,0,0,0,0,0,53.8,,213,real_sociedad,local
Joseba Zaldua,-,-,1,0,1,1,1,1,1,2,1,3,0,74.2,,213,real_sociedad,local
Diego Javier Llorente,-,-,0,0,0,0,0,2,0,0,1,0,0,78.7,,213,real_sociedad,local
Theo Hernández,-,-,0,0,0,0,0,4,1,1,0,2,0,79.3,,213,real_sociedad,local
Raúl Navas,-,-,1,0,0,0,0,2,1,0,1,0,0,80.9,,213,real_sociedad,local
Asier Illarramendi  75',-,-,0,0,1,0,0,1,1,0,1,0,0,69.4,,213,real_sociedad,local
Mikel Merino,-,-,0,0,1,1,0,0,6,1,0,2,1,75,,213,real_sociedad,local
Mikel Oyarzabal,-,-,1,1,1,0,0,1,2,0,1,3,1,68.2,,213,real_sociedad,local
Adnan Januzaj  81',-,-,0,0,6,2,1,0,2,0,0,3,1,72,,213,real_sociedad,local
David Zurutuza,-,-,0,0,0,0,0,1,0,2,1,0,0,67.6,,213,real_sociedad,local
Willian José  87',-,-,3,1,0,0,1,0,2,0,1,0,2,62.5,,213,real_sociedad,local
Iago Herrerín,0,0,0,0,0,0,0,1,1,0,0,0,0,53.1,,213,athletic,visitante
Íñigo Martínez,-,-,1,1,0,0,0,3,0,1,1,0,0,76.9,,213,athletic,visitante
Yeray Álvarez,-,-,0,0,0,0,0,2,0,3,0,0,0,78.4,,213,athletic,visitante
Mikel San José  45',-,-,0,0,0,0,0,0,0,1,3,0,1,60,,213,athletic,visitante
Yuri Berchiche,-,-,0,0,0,0,0,2,2,2,2,2,0,71.4,,213,athletic,visitante
Ander Capa,-,-,0,0,3,0,1,0,3,1,1,1,0,85,,213,athletic,visitante
Iker Muniaín  69',-,-,1,0,0,0,0,1,0,0,0,1,0,80,,213,athletic,visitante
Íñigo Córdoba  45',-,-,1,1,1,0,1,1,0,1,1,0,0,77.8,,213,athletic,visitante
Dani García,-,-,1,0,0,0,0,1,1,1,3,0,0,82.7,,213,athletic,visitante
Ibai Gómez,-,-,0,0,5,2,0,1,1,0,0,2,1,76.2,,213,athletic,visitante
Iñaki Williams,-,-,0,0,0,0,1,1,3,0,0,0,0,63,,213,athletic,visitante
Marc-André ter Stegen,5,1,0,0,0,0,0,0,0,0,0,0,0,75,,214,barcelona,local
Nélson Semedo  45',-,-,1,0,1,0,1,1,0,2,1,2,0,97.4,,214,barcelona,local
Gerard Piqué,-,-,0,0,0,0,0,0,1,1,0,0,0,90.8,,214,barcelona,local
Sergi Roberto,-,-,1,0,2,0,1,1,2,2,1,1,1,93,,214,barcelona,local
Thomas Vermaelen,-,-,1,0,0,0,0,0,1,1,2,0,0,95.3,,214,barcelona,local
Ivan Rakitic,-,-,2,1,2,0,0,0,1,0,3,1,1,94.8,,214,barcelona,local
Philippe Coutinho  83',-,-,3,1,5,0,2,0,0,0,1,0,1,94.2,,214,barcelona,local
Carles Aleñá  65',-,-,1,1,0,0,0,1,1,0,0,2,1,91.5,,214,barcelona,local
Arturo Vidal,-,-,0,0,0,0,0,1,1,1,0,1,2,90.5,,214,barcelona,local
Luis Suárez,-,-,2,0,1,1,2,0,0,0,0,2,2,81.8,,214,barcelona,local
Lionel Messi,-,-,8,5,1,0,1,0,0,0,0,1,3,81.2,,214,barcelona,local
Neto,7,0,0,0,0,0,0,0,0,0,0,0,0,23.8,,214,valencia,visitante
Gabriel Paulista,-,-,1,0,0,0,0,0,0,4,2,0,0,67.9,,214,valencia,visitante
Antonio Lato,-,-,0,0,0,0,0,1,1,2,2,0,0,80.4,,214,valencia,visitante
Cristiano Piccini,-,-,0,0,2,1,0,0,0,0,4,1,2,73.3,,214,valencia,visitante
Ezequiel Garay,-,-,0,0,0,0,0,0,0,2,0,0,0,91.3,,214,valencia,visitante
Dani Parejo,-,-,5,3,2,1,0,1,0,6,3,1,2,96,,214,valencia,visitante
Denis Cheryshev,-,-,1,0,2,0,0,0,3,0,1,0,2,70.4,,214,valencia,visitante
Francis Coquelin  71',-,-,0,0,0,0,0,1,0,4,2,0,0,86.2,,214,valencia,visitante
Daniel Wass,-,-,1,0,1,0,1,2,1,4,1,0,3,81,,214,valencia,visitante
Kevin Gameiro  39',-,-,2,1,0,0,0,0,0,0,1,0,0,75,,214,valencia,visitante
Rodrigo Moreno  78',-,-,3,2,0,0,0,1,0,0,0,2,1,80.6,,214,valencia,visitante
Rubén Blanco,2,0,0,0,0,0,0,0,0,0,0,0,0,76.9,,215,celta,local
Hugo Mallo,-,-,0,0,6,2,2,1,0,1,0,0,2,64.2,,215,celta,local
Néstor Araujo,-,-,0,0,0,0,0,0,0,2,0,0,0,94.4,,215,celta,local
David Juncà,-,-,0,0,1,0,0,1,0,3,2,0,1,81.6,,215,celta,local
Gustavo Cabral,-,-,2,0,0,0,0,0,0,2,0,0,0,85.7,,215,celta,local
Okay Yokuslu  85',-,-,1,1,0,0,0,0,1,1,3,0,0,86,,215,celta,local
Fran Beltrán,-,-,1,1,0,0,0,2,1,1,0,1,3,89.6,,215,celta,local
Sofiane Boufal  79',-,-,1,1,0,0,0,3,2,0,1,5,2,82.1,,215,celta,local
Jozabed Sánchez  67',-,-,3,1,0,0,0,0,0,2,2,1,0,80,,215,celta,local
Brais Méndez,-,-,1,0,2,1,1,1,4,1,2,0,1,76,,215,celta,local
Maxi Gómez,-,-,1,0,0,0,1,4,4,0,0,0,0,76,,215,celta,local
Tomáš Vaclík,3,0,0,0,0,0,0,0,0,0,0,0,0,52.4,,215,sevilla,visitante
Sergi Gómez,-,-,0,0,1,0,0,0,0,0,3,0,1,82,,215,sevilla,visitante
Simon Kjaer,-,-,1,1,0,0,0,0,2,0,2,0,1,87.7,,215,sevilla,visitante
Guilherme Arana  34',-,-,0,0,1,0,0,2,0,0,0,1,0,88.9,,215,sevilla,visitante
Gabriel Mercado,-,-,0,0,0,0,0,2,3,1,2,0,0,86.7,,215,sevilla,visitante
Éver Banega,-,-,2,0,9,2,0,4,1,0,3,4,3,87.3,,215,sevilla,visitante
Pablo Sarabia  75',-,-,2,0,2,0,0,0,1,1,0,0,1,71.4,,215,sevilla,visitante
Franco Vázquez  68',-,-,0,0,1,1,0,1,1,2,2,1,2,78,,215,sevilla,visitante
Wissam Ben Yedder,-,-,4,1,1,0,1,1,3,0,2,1,0,77.8,,215,sevilla,visitante
André Silva,-,-,1,0,1,1,1,1,0,0,0,1,1,77.8,,215,sevilla,visitante
Quincy Promes,-,-,1,0,3,0,2,0,1,1,2,3,1,87,,215,sevilla,visitante
Sergio Asenjo,1,0,0,0,0,0,0,0,0,0,0,0,0,27.3,,216,villarreal,local
Miguel Llambrich  87',-,-,0,0,3,0,0,1,4,3,2,0,0,66.7,,216,villarreal,local
Alfonso Pedraza,-,-,2,1,5,0,0,0,2,1,4,2,2,71.1,,216,villarreal,local
Ramiro Funes Mori,-,-,0,0,0,0,0,2,5,6,1,0,0,69,,216,villarreal,local
Álvaro González,-,-,2,0,0,0,0,0,1,1,0,0,0,70.4,,216,villarreal,local
Daniele Bonera,-,-,0,0,0,0,0,0,1,2,2,0,0,91.7,,216,villarreal,local
Santi Cazorla,-,-,1,1,7,3,1,2,1,0,1,7,3,80.9,,216,villarreal,local
Vicente Iborra,-,-,1,1,0,0,0,2,3,3,2,0,0,74.4,,216,villarreal,local
Pablo Fornals  82',-,-,1,0,2,0,0,3,1,0,2,3,0,75.9,,216,villarreal,local
Karl Toko Ekambi  73',-,-,1,0,1,0,0,1,1,1,0,4,3,100,,216,villarreal,local
Gerard Moreno,-,-,5,2,0,0,0,3,3,1,1,1,2,60,,216,villarreal,local
Diego López,3,0,0,0,0,0,0,0,0,0,0,0,0,64.3,,216,espanyol,visitante
Roberto Rosales,-,-,1,1,1,0,0,1,2,2,2,1,1,74.5,,216,espanyol,visitante
Didac Vilà  77',-,-,1,0,3,0,0,2,1,2,0,0,0,70.4,,216,espanyol,visitante
David López,-,-,0,0,0,0,0,0,0,3,2,0,2,84.7,,216,espanyol,visitante
Mario Hermoso,-,-,1,0,0,0,0,2,2,0,0,1,0,83.6,,216,espanyol,visitante
Víctor Sánchez  45',-,-,0,0,0,0,0,2,1,0,2,0,0,68.8,,216,espanyol,visitante
Sergi Darder,-,-,1,0,1,1,0,0,1,0,2,0,2,86.8,,216,espanyol,visitante
Pablo Piatti,-,-,3,0,2,1,0,3,4,0,1,2,1,84.2,,216,espanyol,visitante
Esteban Granero,-,-,4,1,1,0,0,2,3,3,1,2,0,79.6,,216,espanyol,visitante
Borja Iglesias,-,-,5,0,0,0,1,4,1,0,0,1,2,93.3,,216,espanyol,visitante
Sergio García  69',-,-,0,0,4,0,0,4,1,0,0,0,0,60,,216,espanyol,visitante
Pau López,1,1,0,0,0,0,0,0,0,0,0,0,0,81.1,,217,betis,local
Zou Feddal,-,-,1,1,1,0,0,0,0,2,1,1,0,90.5,,217,betis,local
Francis Guerrero  72',-,-,0,0,0,0,0,2,0,0,1,0,1,74.1,,217,betis,local
Marc Bartra  51',-,-,0,0,0,0,0,0,0,0,0,0,0,93.3,,217,betis,local
Antonio Barragán,-,-,1,0,2,0,0,1,4,0,0,0,0,80,,217,betis,local
Aissa Mandi,-,-,0,0,0,0,0,5,1,3,1,1,0,92.8,,217,betis,local
Sergio Canales,-,-,2,2,1,1,0,1,0,1,0,2,2,90.1,,217,betis,local
Joaquín Sánchez  83',-,-,1,0,1,0,0,1,1,2,1,2,1,85.7,,217,betis,local
Andrés Guardado,-,-,1,0,2,0,0,3,0,1,2,0,1,95.2,,217,betis,local
Wilfrid Kaptoum,-,-,0,0,0,0,0,2,1,1,0,4,1,84.2,,217,betis,local
Sergio León,-,-,1,0,1,0,1,3,0,0,0,1,0,66.7,,217,betis,local
Jan Oblak,2,0,0,0,0,0,0,0,0,0,1,0,0,50,,217,atletico,visitante
Santiago Arias  45',-,-,0,0,4,0,1,0,1,0,0,0,1,83.3,,217,atletico,visitante
Juanfran Torres,-,-,0,0,3,1,0,0,2,1,2,0,1,79.5,,217,atletico,visitante
Lucas Hernández,-,-,0,0,0,0,0,0,2,2,0,1,0,89.5,,217,atletico,visitante
José María Giménez,-,-,1,0,0,0,0,1,0,1,2,1,0,74.3,,217,atletico,visitante
Thomas Teye,-,-,1,0,2,0,1,0,1,3,4,1,0,89.8,,217,atletico,visitante
Thomas Lemar  62',-,-,1,0,4,1,0,1,2,2,0,1,1,82.8,,217,atletico,visitante
Rodri Hernández,-,-,1,0,1,0,0,0,3,0,5,0,0,93.9,,217,atletico,visitante
Antoine Griezmann,-,-,5,0,5,1,2,1,0,0,1,0,4,75.5,,217,atletico,visitante
Ángel Correa  74',-,-,0,0,3,0,1,0,3,0,1,2,3,84.4,,217,atletico,visitante
Álvaro Morata,-,-,4,1,0,0,1,1,5,1,2,5,0,50,,217,atletico,visitante
Marko Dmitrovic,2,1,0,0,0,0,0,0,0,0,0,0,0,43.5,,218,eibar,local
Iván Ramis,-,-,0,0,0,0,0,0,1,1,1,0,0,58.6,,218,eibar,local
Rubén Peña,-,-,1,1,7,0,1,0,0,2,0,1,4,61.4,,218,eibar,local
José Ángel,-,-,0,0,9,1,3,0,0,4,2,2,2,51.2,,218,eibar,local
Anaitz Arbilla,-,-,1,0,2,0,0,0,0,3,1,0,0,76.3,,218,eibar,local
Pape Diop  82',-,-,0,0,0,0,0,2,2,0,0,0,1,70.7,,218,eibar,local
Fabián Orellana,-,-,5,1,7,0,2,1,0,0,1,5,3,83.3,,218,eibar,local
Marc Cucurella,-,-,2,0,4,2,2,1,4,1,3,0,0,79.4,,218,eibar,local
Joan Jordan  65',-,-,2,0,3,1,0,1,1,1,1,0,1,83.9,,218,eibar,local
Sergi Enrich,-,-,2,0,0,0,0,1,1,2,0,0,1,69.8,,218,eibar,local
Charles Dias  72',-,-,4,3,0,0,0,1,1,0,0,0,0,56,,218,eibar,local
Yassine Bono,2,0,0,0,0,0,0,0,0,0,0,0,0,50,,218,girona,visitante
Jonas Ramalho,-,-,1,0,0,0,0,1,1,1,1,0,0,63.6,,218,girona,visitante
Pedro Alcalá,-,-,0,0,0,0,0,0,1,3,1,0,1,62.5,,218,girona,visitante
Raúl García C.,-,-,0,0,6,0,0,0,0,0,1,1,0,67.7,,218,girona,visitante
Juanpe Ramírez  62',-,-,1,1,0,0,1,0,1,3,0,1,0,33.3,,218,girona,visitante
Valery Fernández,-,-,1,1,3,1,1,3,0,1,0,0,0,62.5,,218,girona,visitante
Álex Granell  75',-,-,1,0,8,0,1,1,1,2,1,0,0,69.4,,218,girona,visitante
Pere Pons,-,-,0,0,1,1,0,3,1,0,0,1,1,65.8,,218,girona,visitante
Cristian Portu,-,-,0,0,0,0,0,1,0,0,0,0,0,47.1,,218,girona,visitante
Aleix García  62',-,-,0,0,2,1,0,1,0,1,1,1,0,61.8,,218,girona,visitante
Christian Stuani,-,-,1,0,0,0,1,1,3,0,0,0,0,65,,218,girona,visitante
Thibaut Courtois,1,1,0,0,0,0,0,0,0,0,0,0,0,75,,219,real_madrid,local
Sergio Ramos,-,-,1,0,0,0,0,1,1,1,1,0,1,91.5,,219,real_madrid,local
Nacho Fernández,-,-,0,0,0,0,0,1,1,3,2,0,0,91.9,,219,real_madrid,local
Álvaro Odriozola,-,-,1,1,6,3,2,0,2,0,4,1,1,84.4,,219,real_madrid,local
Sergio Reguilón,-,-,1,0,0,0,0,1,2,1,0,1,1,93.8,,219,real_madrid,local
Luka Modric,-,-,0,0,7,2,1,0,0,0,0,2,5,88.3,,219,real_madrid,local
Casemiro,-,-,1,0,0,0,0,3,1,4,5,3,0,92.6,,219,real_madrid,local
Dani Ceballos,-,-,4,0,0,0,2,2,1,0,2,3,4,95.6,,219,real_madrid,local
Karim Benzema  74',-,-,3,2,0,0,1,1,0,0,1,1,0,81.3,,219,real_madrid,local
Gareth Bale  62',-,-,2,1,1,0,0,0,0,0,0,0,1,81.5,,219,real_madrid,local
Vinicius Junior  86',-,-,6,2,2,0,1,3,1,0,0,5,1,86,,219,real_madrid,local
Fernando Pacheco,5,2,0,0,0,0,0,0,0,0,0,0,0,58.6,,219,alaves,visitante
Carlos Vigaray,-,-,0,0,3,1,0,0,0,1,5,0,1,91.7,,219,alaves,visitante
Rubén Duarte,-,-,1,0,0,0,0,0,0,4,2,0,1,75.9,,219,alaves,visitante
Víctor Laguardia,-,-,0,0,0,0,0,1,1,2,0,0,0,82.1,,219,alaves,visitante
Guillermo Maripán,-,-,1,0,0,0,0,0,1,1,1,1,0,88.9,,219,alaves,visitante
Tomás Pina,-,-,0,0,0,0,0,0,2,0,0,2,0,88.9,,219,alaves,visitante
Jorge F. Burgui  66',-,-,0,0,0,0,0,1,2,0,0,1,2,60,,219,alaves,visitante
Manu García  80',-,-,2,0,0,0,0,0,3,1,2,0,0,70,,219,alaves,visitante
Mubarak Wakaso,-,-,0,0,2,0,1,4,2,0,1,2,0,76.5,,219,alaves,visitante
Jony Rodríguez,-,-,1,1,3,1,1,2,0,2,1,1,1,40,,219,alaves,visitante
Jonathan Calleri  80',-,-,3,0,1,1,0,0,1,0,2,0,1,42.1,,219,alaves,visitante
Stole Dimitrievski,2,0,0,0,0,0,0,0,0,0,0,0,0,50,,220,rayo,local
Álex Moreno,-,-,2,1,7,1,0,0,2,0,0,1,0,96.8,,220,rayo,local
Jordi Amat,-,-,0,0,0,0,0,0,1,0,1,0,0,81.4,,220,rayo,local
Luis Advíncula,-,-,1,0,10,1,3,2,2,1,2,1,2,90,,220,rayo,local
Emiliano Velázquez,-,-,0,0,1,0,0,0,2,4,3,1,0,78,,220,rayo,local
Abdoulaye Ba  45',-,-,0,0,0,0,0,0,1,0,0,0,0,81,,220,rayo,local
Álvaro Medrán,-,-,1,0,4,1,0,0,3,3,1,1,3,88.4,,220,rayo,local
Óscar Trejo  71',-,-,1,1,2,1,0,4,3,0,3,1,2,78.1,,220,rayo,local
Adrián Embarba  67',-,-,0,0,4,1,0,1,1,1,0,1,0,66.7,,220,rayo,local
Giannelli Imbula,-,-,3,0,2,0,0,1,1,1,0,1,3,91.4,,220,rayo,local
Raúl De Tomás,-,-,5,2,0,0,0,2,1,1,0,1,1,66.7,,220,rayo,local
Iván Cuéllar,5,0,0,0,0,0,0,1,0,0,0,0,0,17.2,,220,leganes,visitante
Allan Nyom  57',-,-,0,0,2,1,0,0,0,0,1,0,1,66.7,,220,leganes,visitante
Jonathan Silva,-,-,0,0,7,4,0,2,1,0,0,2,5,60.7,,220,leganes,visitante
Dimitrios Siovas,-,-,0,0,1,0,0,0,2,0,1,0,0,70,,220,leganes,visitante
Kenneth Omeruo,-,-,0,0,0,0,0,0,0,1,1,0,0,73.3,,220,leganes,visitante
Unai Bustinza,-,-,0,0,2,1,1,5,1,3,3,1,1,67.9,,220,leganes,visitante
Recio  89',-,-,1,1,0,0,1,1,4,0,2,0,1,86.5,,220,leganes,visitante
Mikel Vesga  74',-,-,1,0,0,0,1,3,1,1,0,1,0,72,,220,leganes,visitante
Óscar Rodríguez,-,-,2,1,5,2,0,2,0,1,2,1,2,58.6,,220,leganes,visitante
Youssef En Nesyri,-,-,5,1,3,0,2,4,0,0,2,0,1,59.3,,220,leganes,visitante
Martin Braithwaite  79',-,-,4,1,1,0,1,1,1,0,0,0,0,58.3,,220,leganes,visitante
Jordi Masip,3,0,0,0,0,0,0,0,0,0,0,0,0,50,,221,valladolid,local
Joaquín Fernández,-,-,1,0,0,0,0,1,1,1,1,0,0,73.9,,221,valladolid,local
Kiko Olivas,-,-,0,0,0,0,0,1,0,3,1,0,1,85,,221,valladolid,local
Javi Moyano  66',-,-,0,0,1,0,1,0,0,2,0,0,0,65.9,,221,valladolid,local
Nacho Martínez,-,-,1,1,7,1,0,0,1,1,2,0,1,73.5,,221,valladolid,local
Rubén Alcaraz,-,-,1,0,2,0,0,7,2,1,3,3,0,86.5,,221,valladolid,local
Míchel Herrero,-,-,0,0,10,1,1,2,1,3,1,0,1,84.6,,221,valladolid,local
Keko Gontán  89',-,-,0,0,9,1,3,5,1,0,0,2,0,86.4,,221,valladolid,local
Pablo Hervías  80',-,-,2,1,7,1,2,0,1,1,0,1,1,90.5,,221,valladolid,local
Óscar Plano,-,-,0,0,1,0,0,1,6,2,1,0,2,80,,221,valladolid,local
Sergi Guardiola,-,-,3,0,0,0,0,1,0,1,0,2,1,52.9,,221,valladolid,local
Sergio Asenjo,3,0,0,0,0,0,0,0,0,0,0,0,0,65.2,,221,villarreal,visitante
Álvaro González,-,-,0,0,0,0,0,1,0,3,0,0,0,82.6,,221,villarreal,visitante
Ramiro Funes Mori,-,-,0,0,1,0,0,0,1,1,0,0,0,82.4,,221,villarreal,visitante
Miguel Llambrich,-,-,1,0,3,1,1,3,1,0,2,1,1,60.7,,221,villarreal,visitante
Alfonso Pedraza,-,-,1,1,7,2,1,0,2,1,1,0,1,61.8,,221,villarreal,visitante
Daniele Bonera  87',-,-,0,0,0,0,0,0,1,1,0,0,0,91.5,,221,villarreal,visitante
Pablo Fornals  71',-,-,1,1,0,0,0,1,2,1,0,0,1,88.9,,221,villarreal,visitante
Santi Cazorla,-,-,0,0,4,0,0,3,2,1,2,1,0,85.7,,221,villarreal,visitante
Vicente Iborra,-,-,0,0,1,0,1,2,0,1,1,1,0,75.6,,221,villarreal,visitante
Gerard Moreno,-,-,1,0,0,0,0,2,4,1,0,0,0,77.1,,221,villarreal,visitante
Karl Toko Ekambi  80',-,-,2,1,2,1,0,0,2,0,0,3,1,88.9,,221,villarreal,visitante
David Soria,2,0,0,0,0,0,0,0,0,0,0,0,0,45.8,,222,getafe,local
Dakonam Djené,-,-,0,0,0,0,0,1,0,1,2,1,0,85.7,,222,getafe,local
Leandro Cabrera,-,-,0,0,1,1,0,0,1,0,1,0,0,57.1,,222,getafe,local
Damián Suárez,-,-,0,0,11,6,0,2,2,5,4,0,3,73.3,,222,getafe,local
Mathias Olivera,-,-,1,1,3,0,2,0,1,1,1,0,0,64.9,,222,getafe,local
Samuel Sáiz  70',-,-,1,0,1,0,1,0,1,0,0,0,0,80,,222,getafe,local
Mauro Arambarri  60',-,-,1,1,2,1,0,2,2,1,0,0,1,78.3,,222,getafe,local
Nemanja Maksimovic,-,-,1,0,1,0,0,2,1,5,1,0,1,90.9,,222,getafe,local
Dimitri Foulquier,-,-,1,0,1,0,0,0,2,0,0,3,0,65,,222,getafe,local
Jaime Mata  82',-,-,5,3,2,0,0,3,2,2,1,0,1,60,,222,getafe,local
Jorge Molina,-,-,2,1,0,0,1,1,1,0,2,0,3,70.6,,222,getafe,local
Rubén Blanco,3,0,0,0,0,0,0,0,0,0,0,0,0,54.5,,222,celta,visitante
Hugo Mallo  53',-,-,0,0,0,0,0,0,2,0,0,0,0,52.6,,222,celta,visitante
David Costas,-,-,0,0,0,0,0,0,1,2,1,0,0,93.5,,222,celta,visitante
Néstor Araujo,-,-,1,1,0,0,0,1,2,1,0,0,0,82.5,,222,celta,visitante
Wesley Hoedt,-,-,2,0,1,1,0,0,1,0,1,1,2,73.7,,222,celta,visitante
David Juncà  81',-,-,1,0,1,0,2,3,1,0,3,0,1,73.3,,222,celta,visitante
Fran Beltrán,-,-,0,0,0,0,0,0,0,0,1,2,0,78.1,,222,celta,visitante
Sofiane Boufal  65',-,-,2,1,0,0,1,0,2,0,0,5,0,71.4,,222,celta,visitante
Jozabed Sánchez,-,-,1,0,0,0,0,1,2,0,1,0,1,77,,222,celta,visitante
Brais Méndez,-,-,4,1,7,2,0,3,0,1,0,0,2,75,,222,celta,visitante
Maxi Gómez  37',-,-,0,0,0,0,0,1,1,0,0,0,0,53.3,,222,celta,visitante
Jan Oblak,1,0,0,0,0,0,0,0,0,0,0,0,0,36.8,,223,atletico,local
Diego Godín,-,-,0,0,0,0,0,0,1,1,4,0,0,67.9,,223,atletico,local
Santiago Arias,-,-,0,0,0,0,0,1,1,1,2,1,0,75,,223,atletico,local
Lucas Hernández,-,-,0,0,3,1,1,2,2,1,0,0,0,66.7,,223,atletico,local
José María Giménez,-,-,1,1,0,0,1,3,1,1,0,2,0,73.3,,223,atletico,local
Thomas Teye  79',-,-,1,0,3,1,0,1,3,3,1,1,1,70.5,,223,atletico,local
Saúl Ñíguez,-,-,1,0,0,0,0,0,2,0,2,3,0,89.7,,223,atletico,local
Thomas Lemar  58',-,-,0,0,0,0,0,0,1,2,1,1,1,100,,223,atletico,local
Antoine Griezmann,-,-,4,1,1,1,0,2,1,0,1,0,3,90.5,,223,atletico,local
Ángel Correa  64',-,-,1,0,2,0,1,2,3,0,1,1,1,73.7,,223,atletico,local
Álvaro Morata  70',-,-,1,0,0,0,0,2,5,1,2,2,1,57.1,,223,atletico,local
Thibaut Courtois,1,0,0,0,0,0,0,0,0,0,0,0,0,65.5,,223,real_madrid,visitante
Daniel Carvajal,-,-,0,0,3,1,1,4,1,2,2,0,3,83.1,,223,real_madrid,visitante
Sergio Ramos,-,-,2,1,0,0,0,1,1,0,0,0,0,93.8,,223,real_madrid,visitante
Raphaël Varane,-,-,0,0,0,0,0,0,0,1,0,0,0,83.8,,223,real_madrid,visitante
Sergio Reguilón,-,-,0,0,1,0,1,6,2,2,2,0,0,76.8,,223,real_madrid,visitante
Toni Kroos  83',-,-,1,1,5,1,0,1,0,0,0,0,1,83.3,,223,real_madrid,visitante
Luka Modric,-,-,1,0,1,0,1,2,2,0,1,0,1,91,,223,real_madrid,visitante
Casemiro,-,-,1,1,0,0,0,1,3,1,4,1,0,87.9,,223,real_madrid,visitante
Lucas Vázquez,-,-,2,0,1,0,0,4,3,0,2,2,1,87.8,,223,real_madrid,visitante
