Titulares,P,CA,T,TaP,C,CP,CF,FR,FC,PI,BR,Reg,PA,P%,Eventos,partido,equipo,localizacion
Takashi Inui  78',-,-,2,0,2,0,1,2,0,1,0,2,0,78.9,,311,alaves,visitante
Manu García,-,-,2,1,2,0,0,2,4,2,1,0,0,81.8,,311,alaves,visitante
Darko Brasanac  78',-,-,0,0,0,0,0,1,0,0,0,0,0,81.8,,311,alaves,visitante
Jony Rodríguez,-,-,0,0,17,3,1,1,2,0,0,2,2,50,,311,alaves,visitante
Jonathan Calleri,-,-,2,1,1,0,1,1,2,0,1,0,2,65,,311,alaves,visitante
Borja Bastón  67',-,-,0,0,0,0,0,1,0,1,1,1,0,50,,311,alaves,visitante
Roberto Santamaría,2,0,0,0,0,0,0,0,0,0,0,0,1,62.5,,312,huesca,local
Xabier Etxeita,-,-,0,0,0,0,0,0,1,0,0,0,0,75,,312,huesca,local
Javi Galán,-,-,0,0,3,0,3,0,1,2,3,2,0,61.1,,312,huesca,local
Jorge Pulido,-,-,0,0,0,0,0,1,4,1,2,0,0,57.1,,312,huesca,local
Jorge Miramón,-,-,0,0,0,0,0,0,0,1,3,1,0,50,,312,huesca,local
Moi Gómez,-,-,1,0,1,0,0,2,2,1,0,0,0,77.3,,312,huesca,local
David Ferreiro  71',-,-,0,0,9,4,1,6,1,0,1,2,1,69.2,,312,huesca,local
Christian Rivera,-,-,0,0,0,0,0,0,0,1,4,1,0,79.2,,312,huesca,local
Juanpi Añor  59',-,-,0,0,3,1,0,0,2,2,0,1,1,50,,312,huesca,local
Chimy Ávila  87',-,-,2,0,2,0,2,1,3,1,0,1,0,43.8,,312,huesca,local
Enric Gallego,-,-,3,1,0,0,0,2,3,0,3,1,0,52.6,,312,huesca,local
Marc-André ter Stegen,1,0,0,0,0,0,0,0,0,0,0,0,0,83.3,,312,barcelona,visitante
Jean-Clair Todibo,-,-,0,0,0,0,0,0,3,2,1,2,0,95.6,,312,barcelona,visitante
Jeison Murillo,-,-,1,1,0,0,1,0,0,2,1,0,0,92.8,,312,barcelona,visitante
Samuel Umtiti,-,-,1,0,0,0,0,2,0,2,0,0,0,95.4,,312,barcelona,visitante
Moussa Wague,-,-,0,0,2,1,0,0,4,2,2,3,2,87.8,,312,barcelona,visitante
Malcom,-,-,1,0,3,0,0,2,1,1,0,0,1,82,,312,barcelona,visitante
Carles Aleñá  80',-,-,2,0,0,0,1,3,1,1,0,1,0,93.5,,312,barcelona,visitante
Arturo Vidal,-,-,1,0,0,0,0,4,3,0,1,0,0,85.1,,312,barcelona,visitante
Riqui Puig  66',-,-,0,0,0,0,0,0,0,0,2,0,1,91.7,,312,barcelona,visitante
Ousmane Dembélé  66',-,-,3,1,3,2,2,0,0,0,0,4,2,82.5,,312,barcelona,visitante
Kevin-Prince Boateng,-,-,1,0,0,0,0,6,1,0,1,0,0,75,,312,barcelona,visitante
Jan Oblak,3,0,0,0,0,0,0,0,0,0,0,0,0,58.3,,313,atletico,local
Filipe Luis  71',-,-,0,0,0,0,0,2,0,2,2,3,1,89.2,,313,atletico,local
Juanfran Torres,-,-,0,0,1,1,0,1,1,0,0,1,1,86.5,,313,atletico,local
Francisco Montero,-,-,0,0,0,0,0,0,1,2,0,0,0,88.6,,313,atletico,local
Koke Resurrección,-,-,0,0,0,0,0,0,1,1,3,0,2,88,,313,atletico,local
Saúl Ñíguez,-,-,1,1,2,0,0,0,2,3,5,0,0,89.9,,313,atletico,local
Rodri Hernández,-,-,0,0,0,0,0,1,1,4,0,2,0,97.8,,313,atletico,local
Vitolo  61',-,-,1,0,0,0,0,6,1,0,0,1,0,85.3,,313,atletico,local
Toni Moya,-,-,0,0,0,0,0,0,1,0,2,0,0,89.8,,313,atletico,local
Antoine Griezmann  90',-,-,6,3,2,0,0,2,1,1,1,2,1,83.3,,313,atletico,local
Ángel Correa,-,-,2,0,1,0,1,1,0,1,2,1,3,86.5,,313,atletico,local
Rubén Blanco,2,1,0,0,0,0,0,0,0,0,0,0,0,57.7,,313,celta,visitante
Hugo Mallo,-,-,1,0,5,1,0,0,3,1,2,1,1,72.5,,313,celta,visitante
Néstor Araujo,-,-,0,0,0,0,0,0,0,2,2,0,0,91.1,,313,celta,visitante
Lucas Olaza,-,-,0,0,2,1,0,1,1,0,3,0,0,91.1,,313,celta,visitante
Gustavo Cabral,-,-,0,0,0,0,0,1,1,0,0,0,0,88.9,,313,celta,visitante
Okay Yokuslu  83',-,-,0,0,0,0,1,0,1,3,2,2,0,84.9,,313,celta,visitante
Stanislav Lobotka,-,-,0,0,0,0,0,0,0,1,1,1,0,92.1,,313,celta,visitante
Sofiane Boufal  85',-,-,4,1,6,1,0,1,3,0,0,13,0,87.1,,313,celta,visitante
Ryad Boudebouz,-,-,1,1,2,0,1,2,2,1,1,0,5,84.1,,313,celta,visitante
Emre Mor  64',-,-,0,0,0,0,0,1,3,0,1,1,0,71.4,,313,celta,visitante
Maxi Gómez,-,-,3,1,0,0,0,1,1,1,0,0,0,57.1,,313,celta,visitante
Tomáš Vaclík,4,0,0,0,0,0,0,0,0,0,0,0,0,44.8,,314,sevilla,local
Daniel Carriço,-,-,0,0,0,0,0,0,2,2,0,0,0,54.8,,314,sevilla,local
Jesús Navas,-,-,0,0,3,1,1,0,1,0,1,0,1,75.7,,314,sevilla,local
Sergio Escudero,-,-,1,0,2,0,0,2,4,0,3,2,0,86.2,,314,sevilla,local
Gabriel Mercado,-,-,0,0,0,0,0,0,2,2,1,0,0,79.2,,314,sevilla,local
Roque Mesa,-,-,1,1,1,0,0,0,2,2,3,1,1,88.6,,314,sevilla,local
Éver Banega  73',-,-,1,0,2,0,2,1,4,0,1,1,2,87.2,,314,sevilla,local
Pablo Sarabia,-,-,4,1,5,1,1,1,0,1,0,0,2,71,,314,sevilla,local
Franco Vázquez  68',-,-,1,1,0,0,0,1,0,0,1,0,1,76.5,,314,sevilla,local
Wissam Ben Yedder,-,-,1,1,1,0,1,0,1,1,1,1,1,71.4,,314,sevilla,local
Munir El Haddadi  68',-,-,1,1,1,1,0,2,0,0,0,1,0,68.4,,314,sevilla,local
Pau López,2,1,0,0,0,0,0,0,0,0,0,0,0,78.6,,314,betis,visitante
Zou Feddal,-,-,1,0,0,0,0,0,0,2,4,0,0,78.9,,314,betis,visitante
Sidnei  76',-,-,0,0,0,0,0,0,0,1,2,0,0,89.2,,314,betis,visitante
Junior Firpo,-,-,0,0,1,1,1,0,1,3,0,0,1,83,,314,betis,visitante
Aissa Mandi,-,-,0,0,1,1,0,0,2,2,0,0,0,89.2,,314,betis,visitante
Emerson de Souza  67',-,-,0,0,3,1,0,4,1,2,2,0,2,84.4,,314,betis,visitante
Sergio Canales,-,-,0,0,6,1,1,3,2,0,0,1,3,87.9,,314,betis,visitante
William Carvalho,-,-,0,0,0,0,0,2,1,0,2,1,1,91.7,,314,betis,visitante
Andrés Guardado,-,-,1,0,1,0,0,3,1,0,0,0,0,87.5,,314,betis,visitante
Giovani Lo Celso,-,-,3,2,0,0,0,2,0,1,1,1,0,80.5,,314,betis,visitante
Jesé Rodríguez  73',-,-,4,3,0,0,0,0,0,0,0,0,0,61.5,,314,betis,visitante
Yoel Rodríguez,1,2,0,0,0,0,0,0,0,0,0,0,0,42.9,,315,valladolid,local
Kiko Olivas,-,-,0,0,0,0,0,0,0,0,1,2,1,96.3,,315,valladolid,local
